TrajectoryID,PathLength,PenetrationDepth,LateralSpread,LateralY,LateralZ,MeanScatterAngle,FinalEnergy,NumSteps,BoundaryExit
83400,4.5564,0.8623,1.3741,-1.0504,0.8860,23.4878,0.0000,50,False
83401,5.7073,0.5646,3.8921,-1.5817,3.5563,19.0008,0.0000,54,False
83402,5.2367,-0.4621,0.9090,-0.4049,0.8139,18.0432,0.0000,55,False
83403,4.2259,-1.6935,1.6864,-1.6429,0.3803,23.4070,0.0000,50,False
83404,2.9274,-0.2917,2.3378,-2.3376,-0.0328,26.0647,0.0000,43,False
83405,5.5778,0.0015,0.9473,-0.0289,-0.9469,20.1563,0.0000,54,False
83406,5.2895,0.5823,2.0997,-0.9397,1.8777,22.9467,0.0000,51,False
83407,4.7942,1.3035,1.6414,-0.9116,1.3650,22.8189,0.0000,53,False
83408,5.4994,0.9842,1.6874,-0.9467,1.3969,15.7842,0.0000,46,False
83409,5.3885,1.5705,2.2596,-1.2111,-1.9077,21.5478,0.0000,52,False
83410,3.7803,-0.1357,2.4628,-2.2288,1.0477,22.9109,0.0000,49,False
83411,5.5271,0.0698,1.2760,-0.5172,-1.1665,17.0560,0.0000,51,False
83412,4.8301,2.4720,2.6078,-2.3434,-1.1440,17.3087,0.0000,50,False
83413,4.1407,0.5204,2.3436,-1.8922,1.3827,19.9861,0.0000,48,False
83414,4.3452,0.9895,3.8504,-2.7784,-2.6657,23.8940,0.0000,49,False
83415,5.1686,-2.7336,3.4325,-3.2357,1.1455,20.8355,0.0000,56,False
83416,3.0358,-0.9214,2.4010,-2.3771,-0.3379,16.4962,0.0000,49,False
83417,5.1468,1.7541,1.5414,-1.3262,-0.7854,23.5868,0.0000,50,False
83418,5.1989,-0.4098,4.1536,-3.2479,-2.5891,21.7815,0.0000,50,False
83419,4.4433,1.4171,2.0521,-1.5783,-1.3115,17.9505,0.0000,49,False
83420,5.2906,1.6783,1.0602,-1.0582,-0.0653,24.3729,0.0000,47,False
83421,5.6190,-1.5837,0.5438,-0.5124,-0.1820,20.5490,0.0000,57,False
